episode,return,length,loss
1,109.584648,252,0.0
2,75.241016,263,0.0
3,73.137746,292,0.0
4,78.58147,304,0.0
5,143.764915,368,0.0
6,167.871569,368,0.0
7,216.267634,381,0.0
8,261.503526,417,0.0
9,114.005439,280,0.0
10,97.105483,274,0.0
11,96.185672,273,80.72584533691406
12,265.846538,438,40.281944274902344
13,208.918333,563,40.44023895263672
14,362.513908,530,39.887847900390625
15,36.61785,408,78.19877624511719
16,213.823711,620,40.361839294433594
17,-49.473212,255,40.250221252441406
18,332.044339,525,40.48409652709961
19,164.138491,410,114.54657745361328
20,727.668733,778,193.1114044189453
21,-72.296152,272,75.12223815917969
22,84.952063,255,110.96844482421875
23,166.494696,429,79.44223022460938
24,134.936207,354,81.40719604492188
25,74.292864,262,110.0479736328125
26,26.121035,401,146.25930786132812
27,-27.589295,253,36.214637756347656
28,91.126457,399,41.10530090332031
29,-43.738026,295,76.17143249511719
30,108.480341,433,230.26953125
31,62.751625,440,2.097134590148926
32,216.184851,371,75.2343978881836
33,256.513294,674,72.90161895751953
34,-198.743531,368,138.34947204589844
35,-69.248187,288,34.63887023925781
36,373.575036,676,38.28417205810547
37,4.60826,295,65.6732406616211
38,31.318324,284,37.95372772216797
39,220.932305,829,67.44065856933594
40,512.67639,812,36.16468811035156
41,55.823553,503,66.48545837402344
42,27.36745,667,107.65997314453125
43,189.654401,430,128.63194274902344
44,356.097209,651,2.981379985809326
45,17.924994,295,34.364402770996094
46,-57.563239,372,74.94354248046875
47,381.625598,538,3.797389030456543
48,163.704425,736,41.78815460205078
49,174.078298,378,66.52603149414062
50,69.17388,262,38.236595153808594
51,170.639002,618,136.64898681640625
52,168.1816,410,76.59442138671875
53,394.675868,998,4.406706809997559
54,184.317138,437,232.713623046875
55,15.976626,275,129.54922485351562
56,182.105219,644,80.740478515625
57,249.921923,412,2.9228343963623047
58,96.011329,502,70.42471313476562
59,279.318236,802,35.19287109375
60,252.340886,500,34.452552795410156
61,114.118161,782,34.506561279296875
62,164.003334,517,103.16658020019531
63,588.666882,802,57.55998229980469
64,286.891472,535,33.99092102050781
65,111.283967,522,33.99092102050781
66,254.96103,543,75.98345947265625
67,193.938715,431,2.9373724460601807
68,353.173883,525,8.183774948120117
69,327.922855,380,32.73931884765625
70,548.358908,800,73.18785095214844
71,259.037252,415,37.50682830810547
72,519.252072,706,100.4888916015625
73,6.396223,423,81.38493347167969
74,217.40386,291,8.07882308959961
75,313.434247,639,27.1019287109375
76,368.304089,541,4.899625778198242
77,281.682095,364,7.162949562072754
78,336.168793,554,54.30398941040039
79,104.860067,257,85.8536605834961
80,227.671614,538,35.38484191894531
81,98.15503,414,102.40682983398438
82,245.198076,403,13.716107368469238
83,160.044046,282,54.545291900634766
84,533.631198,660,56.78294372558594
85,54.426641,387,51.014739990234375
86,25.699672,268,43.601356506347656
87,65.442456,394,39.428688049316406
88,235.40412,373,10.740371704101562
89,257.404477,648,63.597957611083984
90,117.062984,391,59.01365280151367
91,290.974032,507,9.922996520996094
92,421.116054,694,86.31404113769531
93,167.968894,708,27.011516571044922
94,-78.64175,157,24.119155883789062
95,203.103213,430,36.19364929199219
96,219.870501,387,18.17620086669922
97,290.103589,402,69.261962890625
98,282.54619,421,23.39865493774414
99,74.510949,557,7.519988536834717
100,-14.615136,168,66.67134094238281
101,151.56494,258,33.5167121887207
102,127.407771,342,87.9626235961914
103,456.242912,509,10.216958999633789
104,113.14774,233,72.4190444946289
105,531.713671,693,91.13200378417969
106,270.980313,426,52.435577392578125
107,693.170307,1000,112.71231079101562
108,70.327219,284,4.4954352378845215
109,380.164016,418,71.26132202148438
110,204.296208,430,70.68118286132812
111,491.91472,668,24.920269012451172
112,361.197806,520,82.44596099853516
113,247.412393,368,50.12510681152344
114,208.952393,548,41.85693359375
115,670.909572,669,25.378192901611328
116,517.386807,609,58.796966552734375
